,Book,Chapter,Start Verse,End Verse,Summary
1183,JDG,6,1,7,The Israelites for their sin are oppressed by Midian.
1184,JDG,6,8,10,A prophet rebukes them.
1185,JDG,6,11,16,An angel sends Gideon for their deliverance.
1186,JDG,6,17,23,Gideon's present is consumed with fire.
1187,JDG,6,24,27,"Gideon destroys Baal's altar, and offers a sacrifice upon the altar Jehovah-shalom."
1188,JDG,6,28,32,"Joash defends his son, and calls shim Jerubbaal."
1189,JDG,6,33,35,Gideon's army.
1190,JDG,6,36,40,Gideon's signs.
1191,JDG,7,1,8,Gideon's army of two and thirty thousand is brought to three hundred.
1192,JDG,7,9,15,He is encouraged by the dream and interpretation of the burley cake.
1193,JDG,7,16,23,His stratagem of trumpets and lamps in pitchers.
1194,JDG,7,24,25,The Ephraimites take Oreb and Zeeb.
1195,JDG,8,1,3,Gideon pacifies the Ephraimites.
1196,JDG,8,4,9,Succoth and Penuel refuse to deliver Gideon's army.
1197,JDG,8,10,12,Zebah and Zalmunna are taken.
1198,JDG,8,13,16,Succoth and Penuel are destroyed.
1199,JDG,8,17,21,Gideon revenges his brethren's death on Zebah and Zalmunna.
1200,JDG,8,22,23,He refuses government.
1201,JDG,8,24,27,His ephod the cause of idolatry.
1202,JDG,8,28.,28,Midian subdued.
1203,JDG,8,29,32,"Gideon's children, and death."
1204,JDG,8,33,35,The Israelites' idolatry and ingratitude.
1205,JDG,9,1,6,"Abimelech by conspiracy with the Shechemites, and murder of his brethren, is made king."
1206,JDG,9,7,21,"Jotham by a parable rebukes them, and foretells their ruin."
1207,JDG,9,22,29,Gaal conspires with the Shechemites against him.
1208,JDG,9,30,33,Zebul reveals it.
1209,JDG,9,34,45,"Abimelech overcomes them, and sows the city with salt."
1210,JDG,9,46,49,He burns the hold of the god Berith.
1211,JDG,9,50,55,At Thebez he is slain by a piece of a millstone.
1212,JDG,9,56,57,Jotham's curse if fulfilled.
1213,JDG,10,1,2,Tola judges Israel in Shamir.
1214,JDG,10,3,5,"Jair, whose thirty sons had thirty cities."
1215,JDG,10,6,9,The Philistines and Ammonites oppress Israel.
1216,JDG,10,10,14,In their misery God sends them to their false gods.
1217,JDG,10,15,18,Upon their repentance he pities them.
1218,JDG,11,1,11,"The covenant between Jephthah and the Gileadites, that he should be their head."
1219,JDG,11,12,28,The treaty of peace between him and the Ammonites is in vain.
1220,JDG,11,29,31,Jephthah's vow.
1221,JDG,11,32,33,His conquest of the Ammonites.
1222,JDG,11,34,40,He performs his vow on his daughter.
1223,JDG,12,1,6,"The Ephraimites, quarrelling with Jephthah, and discerned by Shibboleth, are slain by the Gileadites."
1224,JDG,12,7.,7,Jephthah dies.
1225,JDG,12,8,10,"Ibzan, who had thirty sons, and thirty daughters;"
1226,JDG,12,11,12,and Elon;
1227,JDG,12,13,15,"and Abdon, who had forty sons, and thirty nephews, judge Israel."
1228,JDG,13,1.,1,Israel is delivered into the hands of Philistines.
1229,JDG,13,2,7,An angel appears to Manoah's wife.
1230,JDG,13,8,14,The angel appears to Manoah.
1231,JDG,13,15,23,"Manoah's sacrifices, whereby the angel is discovered."
1232,JDG,13,24,25,Samson is born.
1233,JDG,14,1,5,Samson desires a wife of the Philistines.
1234,JDG,14,6,7,In his journey he kills a lion.
1235,JDG,14,8,9,In a second journey he finds honey in the carcase.
1236,JDG,14,10,11,Samson's marriage feast.
1237,JDG,14,12,18,His riddle by his wife is made known.
1238,JDG,14,19.,19,He spoils thirty Philistines.
1239,JDG,14,20.,20,His wife is married to another.
1240,JDG,15,1,2,Samson is denied his wife.
1241,JDG,15,3,5,He burns the Philistines' corn with foxes and firebrands.
1242,JDG,15,6.,6,His wife and her father are burnt by the Philistines.
1243,JDG,15,7,8,Samson smites them hip and thigh.
1244,JDG,15,9,13,"He is bound by the men of Judah, and delivered to the Philistines."
1245,JDG,15,14,17,He kills them with a jawbone.
1246,JDG,15,18,20,God makes the fountain En-hakkore for him in Lehi.
1247,JDG,16,1,3,"Samson at Gaza escapes, and carries away the gates of the city."
1248,JDG,16,4,5,"Delilah, corrupted by the Philistines, entices Samson."
1249,JDG,16,6,14,Thrice she is deceived.
1250,JDG,16,15,20,At last she overcomes him.
1251,JDG,16,21.,21,"The Philistines take him, and put out his eyes."
1252,JDG,16,22,31,"His strength renewing he pulls down the house upon the Philistines, and dies."
1253,JDG,17,1,4,"Of the money that Micah first stole, then restored, his mother makes images;"
1254,JDG,17,5,6,and he ornaments for them.
1255,JDG,17,7,13,He hires a Levite to be his priest.
1256,JDG,18,1,2,The Danites send five men to seek out an inheritance.
1257,JDG,18,3,6,"At the house of Micah they consult with Jonathan, and are encouraged on their way."
1258,JDG,18,7,10,"They search Laish, and bring back news of good hope."
1259,JDG,18,11,13,Six hundred men are sent to surprise it.
1260,JDG,18,14,26,In their way they rob Micah of his priest and his consecrated things.
1261,JDG,18,27,29,"They win Laish, and call it Dan."
1262,JDG,18,30,31,"They set up idolatry, wherein Jonathan inherits the priesthood."
1263,JDG,19,1,15,A Levite goes to Beth-lehem to fetch home his concubine.
1264,JDG,19,16,21,An old man entertains him at Gibeah.
1265,JDG,19,22,28,The Gibeonites abuse his concubine to death.
1266,JDG,19,29,30,"He divides her into twelve pieces, and sends them to the twelve tribes."
1267,JDG,20,1,7,The Levite in a general assembly declares his wrong.
1268,JDG,20,8,11,The decree of the assembly.
1269,JDG,20,12,17,"The Benjamites, being cited, make head against the Israelites."
1270,JDG,20,18,25,The Israelites in two battles lose forty thousand.
1271,JDG,20,26,48,"They destroy by a stratagem all the Benjamites, except six hundred."
1272,JDG,21,1,7,The people bewail the desolation of Benjamin.
1273,JDG,21,8,15,By the destruction of Jabesh-gilead they provide them four hundred wives.
1274,JDG,21,16,25,They advise the remainder to surprise the virgins that danced at Shiloh.
1275,RUT,1,1,3,"Elimelech, driven by famine into Moab, dies there."
1276,RUT,1,4,5,"Mahlon and Chilion, having married wives of Moab, die also."
1277,RUT,1,6,7,"Naomi, returning homeward,"
1278,RUT,1,8,13,dissuades her two daughters-in-law from going with her.
1279,RUT,1,14,18,"Orpah leaves her, but Ruth with great constancy accompanies her."
1280,RUT,1,19,22,"They two come to Beth-lehem, where they are gladly received."
1281,RUT,2,1,3,Ruth gleans in the field of Boaz.
1282,RUT,2,4,7,"Boaz takes notice of her,"
1283,RUT,2,8,17,and shews her great favour.
1284,RUT,2,18,23,"That which she got, she carries to Naomi."
1285,RUT,3,1,4,By Naomi's instruction.
1286,RUT,3,5,7,Ruth lies at Boaz's feet.
1287,RUT,3,8,13,Boaz acknowledges the right of a kinsman.
1288,RUT,3,14,18,He sends her away with six measures of barley.
1289,RUT,4,1,5,Boaz calls into judgment the next kinsman.
1290,RUT,4,6,8,He refuses the redemption according to the manner in Israel.
1291,RUT,4,9,10,Boaz buys the inheritance.
1292,RUT,4,11,12,He marries Ruth.
1293,RUT,4,13,17,"She bears Obed, the grandfather of David."
1294,RUT,4,18,22,The generations of Pharez unto David.
1295,1SA,1,1,3,"Elkanah, a Levite, having two wives, worships yearly at Shiloh."
1296,1SA,1,4,8,"He cherishes Hannah, though barren, and provoked by Peninnah."
1297,1SA,1,9,11,Hannah in grief prays for a child.
1298,1SA,1,12,18,"Eli first rebuking her, afterwards blesses her."
1299,1SA,1,19,23,"Hannah, having born Samuel, stays at home till he is weaned."
1300,1SA,1,24,28,"She presents him, according to her vow, to the Lord."
1301,1SA,2,1,11,Hannah's song in thankfulness.
1302,1SA,2,12,17,The sin of Eli's sons.
1303,1SA,2,18,19,Samuel's ministry.
1304,1SA,2,20,21,By Eli's blessing Hannah is more fruitful.
1305,1SA,2,22,26,Eli reproves his sons.
1306,1SA,2,27,36,A prophecy against Eli's house.
1307,1SA,3,1,10,How the word of the Lord was first revealed to Samuel.
1308,1SA,3,11,14,God tells Samuel the destruction of Eli's house.
1309,1SA,3,15,18,"Samuel, though loath, tells Eli the vision."
1310,1SA,3,19,21,Samuel grows in credit.
1311,1SA,4,1,2,The Israelites are overcome by the Philistines at Ebenezer.
1312,1SA,4,3,9,They fetch the ark unto the terror of the Philistines.
1313,1SA,4,10,11,"They are smitten again, the ark taken, and Hophni and Phinehas are slain."
1314,1SA,4,12,18,"Eli at the news, falling backward, breaks his neck."
1315,1SA,4,19,22,"Phinehas's wife, discouraged in her travail with I-chabod, dies."
1316,1SA,5,1,2,"The Philistines having brought the ark into Ashdod, set it in the house of Dagon."
1317,1SA,5,3,7,"Dagon is smitten down and cut in pieces, and they of Ashdod smitten with emerods."
1318,1SA,5,8,9,"So God deals with them of Gath, when it was brought thither;"
1319,1SA,5,10,12,"and so with them of Ekron, when it was brought thither."
1320,1SA,6,1,9,After seven months the Philistines take counsel how to send back the ark.
1321,1SA,6,10,18,They bring it on a new cart with an offering unto Beth-shemesh.
1322,1SA,6,19,20,The people are smitten for looking into the ark.
1323,1SA,6,21.,21,They send to them of Kirjath-jearim to fetch it.
1324,1SA,7,1.,1,"They of Kirjath-jearim bring the ark into the house of Abinadab, and sanctify Eleazar, his son to keep it."
1325,1SA,7,2.,2,"After twenty years,"
1326,1SA,7,3,6,"the Israelites, by Samuel's means, solemnly repent at Mizpeh."
1327,1SA,7,7,12,"While Samuel prays and sacrifices, the Lord discomfits the Philistines by thunder at Eben-ezer."
1328,1SA,7,13,14,The Philistines are subdued.
1329,1SA,7,15,17,Samuel judges Israel.
1330,1SA,8,1,5,"By occasion of the ill government of Samuel's sons, the Israelites ask a king."
1331,1SA,8,6,9,"Samuel praying in grief, is comforted by God."
1332,1SA,8,10,18,He tells the manner of a king.
1333,1SA,8,19,22,God wills Samuel to yield unto the importunity of the people.
1334,1SA,9,1,5,"Saul despairing to find his father's asses,"
1335,1SA,9,6,10,"by the counsel of his servant,"
1336,1SA,9,11,14,"and direction of young maidens,"
1337,1SA,9,15,17,"according to God's revelation,"
1338,1SA,9,18.,18,comes to Samuel.
1339,1SA,9,19,24,Samuel entertains Saul at the feast.
1340,1SA,9,25,27,"Samuel, after secret communication, brings Saul on his way."
1341,1SA,10,1.,1,Samuel anoints Saul.
1342,1SA,10,2,8,He confirms him by prediction of three signs.
1343,1SA,10,9,13,"Saul's heart is changed, and he prophesies."
1344,1SA,10,14,16,He conceals the matter of the kingdom from his uncle.
1345,1SA,10,17,25,Saul is chosen at Mizpeh by lot.
1346,1SA,10,26,27,The different affections of his subjects.
1347,1SA,11,1,3,Nahash offers them of Jabesh-gilead a reproachful condition.
1348,1SA,11,4,11,"They send messengers, and are delivered by Saul."
1349,1SA,11,12,15,"Saul thereby is confirmed, and his kingdom renewed."
1350,1SA,12,1,5,Samuel testifies his integrity.
1351,1SA,12,6,15,He reproves the people of ingratitude.
1352,1SA,12,16,19,He terrifies them with thunder in harvest time.
1353,1SA,12,20,25,he comforts them in God's mercy.
1354,1SA,13,1,2,Saul's select band.
1355,1SA,13,3,4,"He calls the Hebrews to Gilgal against the Philistines, whose garrison Jonathan had smitten."
1356,1SA,13,5.,5,The Philistines' great host.
1357,1SA,13,6,7,The distress of the Israelites.
1358,1SA,13,8,10,"Saul, weary of staying for Samuel, sacrifices."
1359,1SA,13,11,16,Samuel reproves him.
1360,1SA,13,17,18,The three spoiling bands of the Philistines.
1361,1SA,13,19,23,"The policy of the Philistines, to suffer no smith in Israel."
1362,1SA,14,1,14,Jonathan goes and miraculously smites the Philistine's garrison.
1363,1SA,14,15,16,A divine terror makes them beat themselves.
1364,1SA,14,17,20,"Saul, not staying the priest's answer, sets on them."
1365,1SA,14,21,23,"The captivated Hebrews, and the hidden Israelites, join against them."
1366,1SA,14,24,30,Saul's unadvised adjuration hinders the victory.
1367,1SA,14,31,34,He restrains the people from eating blood.
1368,1SA,14,35,36,He builds an altar.
1369,1SA,14,37,46,"Jonathan, taken by lot, is save by the people."
1370,1SA,14,47,52,"Saul's victories, strength, and family."
1371,1SA,15,1,5,Samuel sends Saul to destroy Amalek.
1372,1SA,15,6.,6,Saul favours the Kenites.
1373,1SA,15,7,9,He spares Agag and the best of the spoil.
1374,1SA,15,10,23,Samuel denounces unto Saul God's rejection of him for his disobedience.
1375,1SA,15,24,31,Saul's humiliation.
1376,1SA,15,32,33,Samuel kills Agag.
1377,1SA,15,34,35,Samuel and Saul part.
1378,1SA,16,1,5,"Samuel sent by God, under pretence of a sacrifice, comes to Beth-lehem."
1379,1SA,16,6,10,His human judgment is reproved.
1380,1SA,16,11,14,He anoints David.
1381,1SA,16,15,23,Saul sends for David to quiet his evil spirit.
1382,1SA,17,1,3,"The armies of the Israelites and Philistines being ready to battle,"
1383,1SA,17,4,11,Goliath challenges a combat.
1384,1SA,17,12,27,"David, sent by his father to visit his brethren, takes the challenge."
1385,1SA,17,28,29,Eliab chides him.
1386,1SA,17,30,31,He is brought to Saul;
1387,1SA,17,32,37,shews the reason of his confidence;
1388,1SA,17,38,54,and slays the giant.
1389,1SA,17,55,58,Saul takes notice of David.
1390,1SA,18,1,4,Jonathan loves David.
1391,1SA,18,5,9,Saul envies his praise;
1392,1SA,18,10,11,seeks to kill him in his fury;
1393,1SA,18,12,16,fears him for his good success;
1394,1SA,18,17,22,offers him his daughters for a snare.
1395,1SA,18,23,27,"David persuaded to be the king's son-in-law, gives two hundred foreskins of the Philistines for Michal's dowry."
1396,1SA,18,28,30,Saul's hatred and David's glory increase.
1397,1SA,19,1,3,Jonathan discloses his father's purpose to kill David.
1398,1SA,19,4,7,He persuades his father to reconciliation.
1399,1SA,19,8,11,"By reason of David's good success in a new war, Saul's malicious rage breaks out against him."
1400,1SA,19,12,17,Michal deceives her father with an image in David's bed.
1401,1SA,19,18,19,David comes to Samuel in Naioth.
1402,1SA,19,20,21,"Saul's messengers sent to take David,"
1403,1SA,19,22,24,"and Saul himself, prophesy."
1404,1SA,20,1,10,David consults with Jonathan for his safety.
1405,1SA,20,11,17,Jonathan and David renew their covenant by oath.
1406,1SA,20,18,23,Jonathan's token to David.
1407,1SA,20,24,34,"Saul, missing David, seeks to kill Jonathan."
1408,1SA,20,35,42,Jonathan affectionately takes his leave of David.
1409,1SA,21,1,6,David at Nob obtains of Ahimelech hallowed bread.
1410,1SA,21,7.,7,Doeg is present.
1411,1SA,21,8,9,David takes Goliath's sword.
1412,1SA,21,10,15,David at Gath feigns himself mad.
1413,1SA,22,1,2,Companies resort unto David at Adullam.
1414,1SA,22,3,4,At Mizpeh he commends his parents unto the king of Moab.
1415,1SA,22,5.,5,"Admonished by Gad, he comes to Hareth."
1416,1SA,22,6,8,"Saul going to pursue him, complains of his servants' unfaithfulness."
1417,1SA,22,9,10,Doeg accuses Ahimelech.
1418,1SA,22,11,16,Saul commands to kill the priests.
1419,1SA,22,17,19,"The footmen refusing, Doeg executes it."
1420,1SA,22,20,23,"Abiathar escaping, brings David the news."
1421,1SA,23,1,6,"David, enquiring of the Lord by Abiathar, rescues Keilah."
1422,1SA,23,7,13,"God shewing him the coming of Saul, and the treachery of the Keilites, he escapes from Keilah."
1423,1SA,23,14,18,In Ziph Jonathan comes and comforts him.
1424,1SA,23,19,24,The Ziphites discover him to Saul.
1425,1SA,23,25,28,At Maon he is rescued from Saul by the invasion of the Philistines.
1426,1SA,23,29.,29,He dwells at En-gedi.
1427,1SA,24,1,7,"David, in a cave at En-gedi, having cut off Saul's skirt, spares his life."
1428,1SA,24,8,15,He shews thereby his innocency.
1429,1SA,24,16,22,"Saul, acknowledging his fault, takes an oath of David, and departs."
1430,1SA,25,1.,1,Samuel dies.
1431,1SA,25,2,9,David in Paran sends to Nabal.
1432,1SA,25,10,13,"Provoked by Nabal's churlishness, he minds to destroy him."
1433,1SA,25,14,17,"Abigail understanding thereof,"
1434,1SA,25,18,22,takes a present;
1435,1SA,25,23,31,"and by her wisdom,"
1436,1SA,25,32,35,pacifies David.
1437,1SA,25,36,38,"Nabal hearing thereof, dies."
1438,1SA,25,39,43,David takes Abigail and Ahinoam to be his wives.
1439,1SA,25,44.,44,Michal is given to Phalti.
1440,1SA,26,1,3,"Saul, by the discovery of the Ziphites, comes to Hachilah against David."
1441,1SA,26,4,12,"David coming into the trench stays Abishai from killing Saul, but takes his spear and cruse."
1442,1SA,26,13,16,David reproves Abner;
1443,1SA,26,17,20,and exhorts Saul.
1444,1SA,26,21,25,Saul acknowledges his sin.
1445,1SA,27,1,4,"Saul, hearing David to be in Gath, seeks no more for him."
1446,1SA,27,5,7,David begs Ziklag of Achish.
1447,1SA,27,8,12,"He, invading other countries, persuades Achish he fought against Judah."
1448,1SA,28,1,2,Achish puts confidence in David.
1449,1SA,28,3.,3,"Saul having destroyed the witches,"
1450,1SA,28,4,6,"and now in his fear forsaken of God,"
1451,1SA,28,7.,7,has recourse to a witch;
1452,1SA,28,8,14,"who, encouraged by Saul, raises up Samuel."
1453,1SA,28,15,20,"Saul hearing his ruin, faints."
1454,1SA,28,21,25,The woman and his servants refresh him with meat.
1455,1SA,29,1,2,"David marching with the Philistines,"
1456,1SA,29,3,5,is disallowed by their princes.
1457,1SA,29,6,11,"Achish dismisses him, with commendations of his fidelity."
1458,1SA,30,1,3,The Amalekites spoil Ziklag.
1459,1SA,30,4,10,"David asking counsel, is encouraged by God to pursue them."
1460,1SA,30,11,21,"By the means of a revived Egyptian he is brought to the enemies, and recovers all the spoil."
1461,1SA,30,22,25,David's law to divide the spoil equally between them that fight and them that keep the stuff.
1462,1SA,30,26,31,He sends presents to his friends.
1463,1SA,31,1,6,"Saul, having lost his army, and his sons slain, he and his armour-bearer kill themselves."
1464,1SA,31,7.,7,The Philistines possess the forsaken towns of the Israelites.
1465,1SA,31,8,10,They triumph over the dead carcases.
1466,1SA,31,11,13,"They of Jabesh-gilead recovering the dead bodies by night, burn them at Jabesh, and mournfully bury their bones."
1467,2SA,1,1,16,"The Amalekite, who brought tidings of the overthrow, and accused himself of Saul's death, is slain."
1468,2SA,1,17,27,David laments Saul and Jonathan with a song.
1469,2SA,2,1,4,"David, by God's direction, with his company goes up to Hebron, where he is made king of Judah."
1470,2SA,2,5,7,He commends them of Jabesh-gilead for their kindness to Saul.
1471,2SA,2,8,11,Abner makes Ishbosheth king of Israel.
1472,2SA,2,12,17,A mortal skirmish between twelve of Abner's and twelve of Joab's men.
1473,2SA,2,18,24,Asahel is slain.
1474,2SA,2,25,31,"At Abner's motion, Joab sounds a retreat."
1475,2SA,2,32.,32,Asahel's burial.
1476,2SA,3,1.,1,During the war David still waxes stronger.
1477,2SA,3,2,5,Six sons are born to him in Hebron.
1478,2SA,3,6.,6,"Abner, displeased with Ish-bosheth,"
1479,2SA,3,7,12,revolts to David.
1480,2SA,3,13,16,David requires as a condition to bring him his wife Michal.
1481,2SA,3,17,21,"Abner, having communed with the Israelites, is feasted by David, and dismissed."
1482,2SA,3,22,27,"Joab returning from battle, is displeased with the king, and kills Abner."
1483,2SA,3,28,30,David curses Joab;
1484,2SA,3,31,39,and mourns for Abner.
1485,2SA,4,1.,1,"The Israelites being troubled at the death of Abner,"
1486,2SA,4,2,8,"Baanah and Rechab slay Ish-bosheth, and bring his head to Hebron."
1487,2SA,4,9,12,"David causes them to be slain, and Ish-bosheth's head to be buried."
1488,2SA,5,1,3,The tribes come to Hebron and anoint David over Israel.
1489,2SA,5,4,5,David's age.
1490,2SA,5,6,10,"He taking Zion from the Jebusites, dwells in it."
1491,2SA,5,11,12,Hiram sends to David.
1492,2SA,5,13,16,Eleven sons are born to him in Jerusalem.
1493,2SA,5,17,21,"David, directed by God, smites the Philistines at Baal-perazim;"
1494,2SA,5,22,25,and again at the mulberry trees.
1495,2SA,6,1,5,David fetches the ark from Kirjath-jearim on a new cart.
1496,2SA,6,6,8,Uzzah is smitten at Perez-uzzah.
1497,2SA,6,9,11,God blesses Obed-edom for the ark.
1498,2SA,6,12,16,"David brings the ark into Zion with sacrifices, and dances before it; for which Michal despises him."
1499,2SA,6,17,19,He places it in a tabernacle with great joy and feasting.
1500,2SA,6,20,23,"Michal, reproving David for his religious joy, is childless to her death."
1501,2SA,7,1,3,"Nathan, first approving the purpose of David to build God a house,"
1502,2SA,7,4,11,after by the word of God forbids him.
1503,2SA,7,12,17,God promises him benefits and blessings in his seed.
1504,2SA,7,18,29,David's prayer and thanksgiving.
1505,2SA,8,1,2,David subdues the Philistines and the Moabites.
1506,2SA,8,3,8,"He smites Hadadezer, and the Syrians."
1507,2SA,8,9,10,Toi sends Joram with presents to bless him.
1508,2SA,8,11,13,The presents and the spoil David dedicates to God.
1509,2SA,8,14,15,He puts garrisons in Edom.
1510,2SA,8,16,18,David's officers.
1511,2SA,9,1,6,David by Ziba sends for Mephibosheth.
1512,2SA,9,7,8,"For Jonathan's sake he entertains him at his table, and restores him all that was Saul's."
1513,2SA,9,9,13,He makes Ziba his farmer.
1514,2SA,10,1,5,"David's messengers, sent to comfort Hanun the son of Nahash, are villanously treated."
1515,2SA,10,6,14,"The Ammonites, strengthened by the Syrians, are overcome by Joab and Abishai."
1516,2SA,10,15,19,"Shobach, making a new supply of the Syrians at Helam, is slain by David."
1517,2SA,11,1,5,"While Joab besieges Rabbah, David commits adultery with Bath-sheba."
1518,2SA,11,6,13,"Uriah, sent for by David to cover the adultery, would not go home."
1519,2SA,11,14,17,He carries to Joab the letter of his death.
1520,2SA,11,18,25,Joab sends the news thereof to David.
1521,2SA,11,26,27,David takes Bath-sheba to wife.
1522,2SA,12,1,6,Nathan's parable of the ewe lamb causes David to be his own judge.
1523,2SA,12,7,14,"David, reproved by Nathan, confesses his sin, and is pardoned."
1524,2SA,12,15,23,David mourns and prays for the child while it lives.
1525,2SA,12,24,25,"Solomon is born, and named Jedidiah."
1526,2SA,12,26,31,"David takes Rabbah, and tortures the people thereof."
1527,2SA,13,1,14,"Amnon loving Tamar, by Jonadab's counsel feigning himself sick, ravishes her."
1528,2SA,13,15,18,"He hates her, and shamefully turns her away."
1529,2SA,13,19,22,"Absalom entertains her, and conceals his purpose."
1530,2SA,13,23,30,"At a sheep-shearing among all the king's sons, he kills Amnon."
1531,2SA,13,31,36,"David grieving at the news, is comforted by Jonadab."
1532,2SA,13,37,39,Absalom flies to Talmai at Geshur.
1533,2SA,14,1,24,"Joab, suborning a widow of Tekoah by a parable to incline the king's heart to fetch home Absalom, brings him to Jerusalem."
1534,2SA,14,25,27,"Absalom's beauty, hair, and children."
1535,2SA,14,28,33,"After two years, Absalom is brought into the king's presence by Joab."
1536,2SA,15,1,6,"Absalom, by fair speeches and courtesies, steals the hearts of Israel."
1537,2SA,15,7,9,"Under pretence of a vow, he obtains leave to go to Hebron."
1538,2SA,15,10,12,He makes there a great conspiracy.
1539,2SA,15,13,18,David upon the news flees from Jerusalem.
1540,2SA,15,19,23,Ittai will not leave him.
1541,2SA,15,24,29,Zadok and Abiathar are sent back with the ark.
1542,2SA,15,30.,30,David and his company go up mount Olivet weeping.
1543,2SA,15,31.,31,He curses Ahithophel's counsel.
1544,2SA,15,32,37,Hushai is sent back with instructions.
1545,2SA,16,1,4,"Ziba, by presents and false suggestions, obtains his master's inheritance."
1546,2SA,16,5,8,At Bahurim Shimei curse David.
1547,2SA,16,9,14,"David with patience abstains, and restrains others, from revenge."
1548,2SA,16,15,19,Hushai insinuates himself into Absalom's counsel.
1549,2SA,16,20,23,Ahithophel's counsel.
1550,2SA,17,1,14,"Ahithophel's counsel is overthrown by Hushai's, according to God's appointment."
1551,2SA,17,15,22,Secret intelligence is sent unto David.
1552,2SA,17,23,24,Ahithophel hangs himself.
1553,2SA,17,25,26,Amasa is made captain.
1554,2SA,17,27,29,David at Mahanaim is furnished with provisions.
1555,2SA,18,1,5,David viewing the armies in their march gives them charge of Absalom.
1556,2SA,18,6,8,The Israelites are sorely smitten in the wood of Ephraim.
1557,2SA,18,9,17,"Absalom, hanging in an oak is slain by Joab, and cast into a pit."
1558,2SA,18,18.,18,Absalom's place.
1559,2SA,18,19,32,Ahimaaz and Cushi bring tidings to David.
1560,2SA,18,33.,33,David mourns for Absalom.
1561,2SA,19,1,8,Joab causes the king to cease his mourning.
1562,2SA,19,9,10,The Israelites are earnest to bring the king back.
1563,2SA,19,11,17,David sends to the priests to incite them of Judah.
1564,2SA,19,18,23,Shimei is pardoned;
1565,2SA,19,24,31,Mephibosheth excused;
1566,2SA,19,32,40,"Barzillai dismissed, and Chimham his son taken into the king's family."
1567,2SA,19,41,43,The Israelites expostulate with Judah for bringing home the king without them.
1568,2SA,20,1,2,"By occasion of the quarrel, Sheba makes a party in Israel."
1569,2SA,20,3.,3,David's ten concubines are put in confinement for life.
1570,2SA,20,4,13,"Amasa, made captain over Judah, is slain by Joab."
1571,2SA,20,14,15,Joab pursues Sheba unto Abel.
1572,2SA,20,16,22,A wise woman saves the city by Sheba's head.
1573,2SA,20,23,26,David's officers.
1574,2SA,21,1,9,"The three years' famine for the Gibeonites ceases, by hanging seven of Saul's sons."
1575,2SA,21,10,11,Rizpah's kindness unto the dead.
1576,2SA,21,12,14,David buries the bones of Saul and Jonathan in his father's sepulchre.
1577,2SA,21,15,22,"Four battles against the Philistines, wherein four valiants of David slay four giants."
1578,2SA,22,1,51,"David's psalm of thanksgiving for God's powerful deliverance, and manifold blessings."
1579,2SA,23,1,5,"David, in his last words, professes his faith in God's promises to be beyond sense or experience."
1580,2SA,23,6,7,The different state of the wicked.
1581,2SA,23,8,39,A catalogue of David's mighty men.
1582,2SA,24,1,4,"David, tempted by Satan, forces Joab to number the people."
1583,2SA,24,5,9,"The captains, in nine months and twenty days, bring the muster of thirteen hundred thousand fighting men."
1584,2SA,24,10,14,"David repents, and having three plagues propounded by God, chooses the three days' pestilence."
1585,2SA,24,15,17,"After the death of three score and ten thousand, David by prayer prevents the destruction of Jerusalem."
1586,2SA,24,18,25,"David, by God's direction, purchases Araunah's threshing floor; where having sacrificed, the plague stays."
1587,1KI,1,1,4,Abishag cherishes David in his extreme age.
1588,1KI,1,5,10,"Adonijah, David's darling, usurps the kingdom."
1589,1KI,1,11,14,"By the council of Nathan,"
1590,1KI,1,15,21,"Bath-sheba moves the king,"
1591,1KI,1,22,27,and Nathan seconds her.
1592,1KI,1,28,31,David renews his oath to Bath-sheba.
1593,1KI,1,32,40,"Solomon, by David's appointment, being anointed king by Zadok and Nathan, the people triumph."
1594,1KI,1,41,49,"Jonathan bringing the news, Adonijah's guests fly."
1595,1KI,1,50,53,"Adonijah, flying to the horns of the altar, upon his good behaviour, is dismissed by Solomon."
1596,1KI,2,1,2,"David, having given a charge to Solomon,"
1597,1KI,2,3,4,of religiousness;
1598,1KI,2,5,6,of Joab;
1599,1KI,2,7.,7,of Barzillai;
1600,1KI,2,8,9,of Shimei;
1601,1KI,2,10,11,dies.
1602,1KI,2,12.,12,Solomon succeeds.
1603,1KI,2,13,25,"Adonijah, moving Bath-sheba to sue unto Solomon for Abishag, is put to death."
1604,1KI,2,26,27,"Abiathar, having his life given him, is deprived of the priesthood."
1605,1KI,2,28,34,"Joab fleeing to the horns of the altar, is there slain."
1606,1KI,2,35.,35,"Benaiah is put in Joab's room, and Zadok in Abiathar's."
1607,1KI,2,36,46,"Shimei, confined to Jerusalem, by occasion of going thence to Gath, is put to death."
1608,1KI,3,1.,1,Solomon marries Pharaoh's daughter.
1609,1KI,3,2,4,"High places being in use, Solomon sacrifices at Gibeon."
1610,1KI,3,5,15,"Solomon at Gibeon, in the choice which God gave him, preferring wisdom, obtains wisdom, riches, and honour."
1611,1KI,3,16,28,Solomon's judgment makes him renowned.
1612,1KI,4,1,6,Solomon's princes.
1613,1KI,4,7,19,His twelve officers for provision.
1614,1KI,4,20,21,The peace and largeness of his kingdom.
1615,1KI,4,22,25,His daily provision.
1616,1KI,4,26,28,His stables.
1617,1KI,4,29,34,His wisdom.
1618,1KI,5,1,6,"Hiram, sending to congratulate Solomon, is desired to furnish him with timber to build the temple."
